Running on: cuda:2

Optimizer       | Best Iters   | Best Loss    | Best Params
--------------------------------------------------------------------------------
Starting Grid Search for Muon (160 configs)...
lr: 0.0007000000000000001, mom: 0.1, Iters: 5000, Loss: 0.008033
lr: 0.0007000000000000001, mom: 0.2, Iters: 5000, Loss: 0.008296
lr: 0.0007000000000000001, mom: 0.3, Iters: 5000, Loss: 0.008651
lr: 0.0007000000000000001, mom: 0.4, Iters: 5000, Loss: 0.009122
lr: 0.0007000000000000001, mom: 0.5, Iters: 5000, Loss: 0.009859
lr: 0.0007000000000000001, mom: 0.6, Iters: 5000, Loss: 0.010928
lr: 0.0007000000000000001, mom: 0.7, Iters: 5000, Loss: 0.012838
lr: 0.0007000000000000001, mom: 0.8, Iters: 5000, Loss: 0.016740
lr: 0.0007000000000000001, mom: 0.9, Iters: 5000, Loss: 0.028320
lr: 0.0007000000000000001, mom: 0.95, Iters: 5000, Loss: 0.054210
lr: 0.0008, mom: 0.1, Iters: 5000, Loss: 0.010532
lr: 0.0008, mom: 0.2, Iters: 5000, Loss: 0.010806
lr: 0.0008, mom: 0.3, Iters: 5000, Loss: 0.011277
lr: 0.0008, mom: 0.4, Iters: 5000, Loss: 0.011930
lr: 0.0008, mom: 0.5, Iters: 5000, Loss: 0.012795
lr: 0.0008, mom: 0.6, Iters: 5000, Loss: 0.014249
lr: 0.0008, mom: 0.7, Iters: 5000, Loss: 0.016893
lr: 0.0008, mom: 0.8, Iters: 5000, Loss: 0.021877
lr: 0.0008, mom: 0.9, Iters: 5000, Loss: 0.037200
lr: 0.0008, mom: 0.95, Iters: 5000, Loss: 0.070656
lr: 0.0009000000000000001, mom: 0.1, Iters: 5000, Loss: 0.013419
lr: 0.0009000000000000001, mom: 0.2, Iters: 5000, Loss: 0.013718
lr: 0.0009000000000000001, mom: 0.3, Iters: 5000, Loss: 0.014318
lr: 0.0009000000000000001, mom: 0.4, Iters: 5000, Loss: 0.015084
lr: 0.0009000000000000001, mom: 0.5, Iters: 5000, Loss: 0.016086
lr: 0.0009000000000000001, mom: 0.6, Iters: 5000, Loss: 0.018011
lr: 0.0009000000000000001, mom: 0.7, Iters: 5000, Loss: 0.021298
lr: 0.0009000000000000001, mom: 0.8, Iters: 5000, Loss: 0.027520
lr: 0.0009000000000000001, mom: 0.9, Iters: 5000, Loss: 0.047007
lr: 0.0009000000000000001, mom: 0.95, Iters: 5000, Loss: 0.089455
==> SignMuon    | 2104         | 0.001000     | lr: lr=0.0002, mom: mom=0.2

Starting Grid Search for SignSGD (160 configs)...
lr: 5e-05, mom: 0.1, Iters: 5000, Loss: 0.084209
  [New Best] lr: 5e-05, mom: 0.1, Iters: 5000, Loss: 0.084209
lr: 5e-05, mom: 0.2, Iters: 5000, Loss: 0.083582
  [New Best] lr: 5e-05, mom: 0.2, Iters: 5000, Loss: 0.083582
lr: 5e-05, mom: 0.3, Iters: 5000, Loss: 0.083136
  [New Best] lr: 5e-05, mom: 0.3, Iters: 5000, Loss: 0.083136
lr: 5e-05, mom: 0.4, Iters: 5000, Loss: 0.082824
  [New Best] lr: 5e-05, mom: 0.4, Iters: 5000, Loss: 0.082824
lr: 5e-05, mom: 0.5, Iters: 5000, Loss: 0.082614
  [New Best] lr: 5e-05, mom: 0.5, Iters: 5000, Loss: 0.082614
lr: 5e-05, mom: 0.6, Iters: 5000, Loss: 0.082456
  [New Best] lr: 5e-05, mom: 0.6, Iters: 5000, Loss: 0.082456
lr: 5e-05, mom: 0.7, Iters: 5000, Loss: 0.082331
  [New Best] lr: 5e-05, mom: 0.7, Iters: 5000, Loss: 0.082331
lr: 5e-05, mom: 0.8, Iters: 5000, Loss: 0.082235
  [New Best] lr: 5e-05, mom: 0.8, Iters: 5000, Loss: 0.082235
lr: 5e-05, mom: 0.9, Iters: 5000, Loss: 0.082228
  [New Best] lr: 5e-05, mom: 0.9, Iters: 5000, Loss: 0.082228
lr: 5e-05, mom: 0.95, Iters: 5000, Loss: 0.082454
lr: 6e-05, mom: 0.1, Iters: 5000, Loss: 0.013394
  [New Best] lr: 6e-05, mom: 0.1, Iters: 5000, Loss: 0.013394
lr: 6e-05, mom: 0.2, Iters: 5000, Loss: 0.011774
  [New Best] lr: 6e-05, mom: 0.2, Iters: 5000, Loss: 0.011774
lr: 6e-05, mom: 0.3, Iters: 5000, Loss: 0.010674
  [New Best] lr: 6e-05, mom: 0.3, Iters: 5000, Loss: 0.010674
lr: 6e-05, mom: 0.4, Iters: 5000, Loss: 0.009968
  [New Best] lr: 6e-05, mom: 0.4, Iters: 5000, Loss: 0.009968
